Datetime,Consumption,Festivals/Special_events,Power_Consumption_diff
01-01-1988,107.5052,6,
02-01-1988,105.672,1,-1.8332
03-01-1988,97.4502,1,-8.2218
04-01-1988,92.4714,1,-4.9788
05-01-1988,90.3151,1,-2.1563
06-01-1988,93.0904,1,2.7753
07-01-1988,97.6202,0,4.5298
08-01-1988,98.2485,1,0.6283
09-01-1988,95.5846,1,-2.6639
10-01-1988,91.3154,0,-4.2692
11-01-1988,93.0005,1,1.6851
12-01-1988,103.7145,2,10.714
01-01-1989,108.3057,2,4.5912
02-01-1989,102.9869,0,-5.3188
03-01-1989,97.2221,1,-5.7648
04-01-1989,92.0329,3,-5.1892
05-01-1989,90.8137,0,-1.2192
06-01-1989,94.9005,2,4.0868
07-01-1989,100.7655,1,5.865
08-01-1989,99.4816,2,-1.2839
09-01-1989,96.0005,3,-3.4811
10-01-1989,92.5322,0,-3.4683
11-01-1989,94.3417,3,1.8095
12-01-1989,103.1354,2,8.7937
01-01-1990,108.8152,3,5.6798
02-01-1990,105.062,3,-3.7532
03-01-1990,100.61,1,-4.452
04-01-1990,95.1586,1,-5.4514
05-01-1990,93.8734,0,-1.2852
06-01-1990,98.8918,1,5.0184
07-01-1990,103.8694,0,4.9776
08-01-1990,105.0669,0,1.1975
09-01-1990,99.1151,2,-5.9518
10-01-1990,95.3789,0,-3.7362
11-01-1990,97.4643,2,2.0854
12-01-1990,105.5777,2,8.1134
01-01-1991,114.8703,3,9.2926
02-01-1991,111.1622,3,-3.7081
03-01-1991,105.2928,3,-5.8694
04-01-1991,98.2384,0,-7.0544
05-01-1991,96.4065,1,-1.8319
06-01-1991,102.1097,2,5.7032
07-01-1991,107.9816,1,5.8719
08-01-1991,110.7655,0,2.7839
09-01-1991,102.5152,0,-8.2503
10-01-1991,98.2832,1,-4.232
11-01-1991,100.1078,3,1.8246
12-01-1991,108.8631,0,8.7553
01-01-1992,112.9188,2,4.0557
02-01-1992,111.6822,0,-1.2366
03-01-1992,108.3523,2,-3.3299
04-01-1992,100.1081,0,-8.2442
05-01-1992,98.6892,2,-1.4189
06-01-1992,103.4722,0,4.783
07-01-1992,109.0301,1,5.5579
08-01-1992,110.0448,3,1.0147
09-01-1992,104.3053,1,-5.7395
10-01-1992,100.8735,3,-3.4318
11-01-1992,104.0706,1,3.1971
12-01-1992,119.1949,9,15.1243
01-01-1993,119.3598,8,0.1649
02-01-1993,112.1726,2,-7.1872
03-01-1993,108.1964,2,-3.9762
04-01-1993,102.2781,1,-5.9183
05-01-1993,100.8218,2,-1.4563
06-01-1993,106.4654,0,5.6436
07-01-1993,111.614,0,5.1486
08-01-1993,112.1052,0,0.4912
09-01-1993,108.061,2,-4.0442
10-01-1993,102.4365,1,-5.6245
11-01-1993,103.5665,0,1.13
12-01-1993,112.6839,0,9.1174
01-01-1994,121.0214,5,8.3375
02-01-1994,112.5573,2,-8.4641
03-01-1994,108.365,3,-4.1923
04-01-1994,102.15,3,-6.215
05-01-1994,103.8162,1,1.6662
06-01-1994,109.8448,3,6.0286
07-01-1994,115.0928,9,5.248
08-01-1994,114.1606,0,-0.9322
09-01-1994,108.5743,0,-5.5863
10-01-1994,103.7538,3,-4.8205
11-01-1994,107.5166,3,3.7628
12-01-1994,114.4894,1,6.9728
01-01-1995,120.2855,8,5.7961
02-01-1995,115.1643,8,-5.1212
03-01-1995,109.5275,0,-5.6368
04-01-1995,104.6441,0,-4.8834
05-01-1995,102.1784,1,-2.4657
06-01-1995,106.2078,2,4.0294
07-01-1995,112.5081,0,6.3003
08-01-1995,111.5374,1,-0.9707
09-01-1995,107.3541,1,-4.1833
10-01-1995,104.0286,0,-3.3255
11-01-1995,108.4992,2,4.4706
12-01-1995,119.5159,9,11.0167
01-01-1996,122.9464,8,3.4305
02-01-1996,119.5561,6,-3.3903
03-01-1996,114.4747,3,-5.0814
04-01-1996,106.0578,1,-8.4169
05-01-1996,102.6762,1,-3.3816
06-01-1996,109.3297,2,6.6535
